seconds,hours,svn,pwm icharge,pwm iled,pwm vlimit,pwm led,control_output_flags,control_flags,v_ref_ad,v_charge_ad,i_batt_ad,t_batt_ad,v_batt_ad,t_led_ad,batt_id_ad,t_driver_ad,driver_input_flags,Converted by computer:,vcharger (V),ibatt (A),tbatt (C),vbatt (V),tled (C),tdriver (C),
0.0,0.0000,3217,1023,0,0,0,00000001,0000000001000000,0,3,1,589,964,630,513,569,00111111,,0.08,-0.01,22.1,25.16,22.6,24.1,
1.0,0.0003,3217,1023,0,0,0,00000001,0000000001000000,0,4,1,589,964,629,513,569,00111111,,0.10,-0.01,22.1,25.16,22.7,24.1,
2.0,0.0006,3217,1023,461,23,200,00001001,0000000000000000,0,3,274,589,929,629,513,569,00111111,,0.08,-2.19,22.1,24.25,22.7,24.1,
3.0,0.0008,3217,1023,227,0,0,00001001,0000000000000000,0,3,128,589,947,630,513,569,00111111,,0.08,-1.03,22.1,24.72,22.6,24.1,
4.0,0.0011,3217,1023,196,0,0,00001001,0000000000100000,0,4,75,589,953,629,513,569,00111111,,0.10,-0.60,22.1,24.88,22.7,24.1,
5.0,0.0014,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,954,629,514,569,00111111,,0.08,-0.59,22.1,24.90,22.7,24.1,
6.0,0.0017,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,953,629,513,569,00111111,,0.08,-0.58,22.1,24.88,22.7,24.1,
7.0,0.0019,3217,1023,196,0,0,00001001,0000000000100000,0,3,75,589,953,629,513,569,00111111,,0.08,-0.60,22.1,24.88,22.7,24.1,
8.0,0.0022,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,953,628,513,569,00111111,,0.08,-0.59,22.1,24.88,22.8,24.1,
9.0,0.0025,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,953,628,514,569,00111111,,0.08,-0.59,22.1,24.88,22.8,24.1,
10.0,0.0028,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,953,628,513,569,00111111,,0.08,-0.58,22.1,24.88,22.8,24.1,
11.0,0.0031,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,953,627,513,569,00111111,,0.08,-0.58,22.1,24.88,22.9,24.1,
12.0,0.0033,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,953,627,513,569,00111111,,0.08,-0.61,22.1,24.88,22.9,24.1,
13.0,0.0036,3217,1023,196,0,0,00001001,0000000000100000,0,3,75,589,953,627,513,569,00111111,,0.08,-0.60,22.1,24.88,22.9,24.1,
14.0,0.0039,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,953,626,513,569,00111111,,0.08,-0.58,22.1,24.88,23.0,24.1,
15.0,0.0042,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,626,513,569,00111111,,0.08,-0.61,22.1,24.85,23.0,24.1,
16.0,0.0044,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,953,626,513,569,00111111,,0.08,-0.59,22.1,24.88,23.0,24.1,
17.0,0.0047,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,626,513,569,00111111,,0.08,-0.61,22.1,24.85,23.0,24.1,
18.0,0.0050,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,626,513,569,00111111,,0.08,-0.61,22.1,24.85,23.0,24.1,
19.0,0.0053,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,952,625,514,569,00111111,,0.08,-0.58,22.1,24.85,23.1,24.1,
20.0,0.0056,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,625,513,569,00111111,,0.08,-0.61,22.1,24.85,23.1,24.1,
21.0,0.0058,3217,1023,196,0,0,00001001,0000000000100000,0,3,75,589,952,625,514,569,00111111,,0.08,-0.60,22.1,24.85,23.1,24.1,
22.0,0.0061,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,625,513,569,00111111,,0.08,-0.61,22.1,24.85,23.1,24.1,
23.0,0.0064,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,952,625,513,569,00111111,,0.08,-0.58,22.1,24.85,23.1,24.1,
24.0,0.0067,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,952,624,513,569,00111111,,0.08,-0.61,22.1,24.85,23.2,24.1,
25.0,0.0069,3217,1023,196,0,0,00001001,0000000000100000,0,3,73,589,952,624,514,568,00111111,,0.08,-0.58,22.1,24.85,23.2,24.2,
26.0,0.0072,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,624,513,568,00111111,,0.08,-0.61,22.1,24.82,23.2,24.2,
27.0,0.0075,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,952,624,513,568,00111111,,0.08,-0.59,22.1,24.85,23.2,24.2,
28.0,0.0078,3217,1023,196,0,0,00001001,0000000000100000,0,3,75,589,952,623,513,569,00111111,,0.08,-0.60,22.1,24.85,23.3,24.1,
29.0,0.0081,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,623,513,569,00111111,,0.08,-0.61,22.1,24.82,23.3,24.1,
30.0,0.0083,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,952,623,513,568,00111111,,0.08,-0.59,22.1,24.85,23.3,24.2,
31.0,0.0086,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,622,514,568,00111111,,0.08,-0.61,22.1,24.82,23.4,24.2,
32.0,0.0089,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,622,514,568,00111111,,0.08,-0.61,22.1,24.82,23.4,24.2,
33.0,0.0092,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,952,622,513,568,00111111,,0.08,-0.59,22.1,24.85,23.4,24.2,
34.0,0.0094,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,622,514,568,00111111,,0.08,-0.61,22.1,24.82,23.4,24.2,
35.0,0.0097,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,622,513,568,00111111,,0.08,-0.61,22.1,24.82,23.4,24.2,
36.0,0.0100,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,951,621,513,568,00111111,,0.08,-0.59,22.1,24.82,23.5,24.2,
37.0,0.0103,3217,1023,196,0,0,00001001,0000000000100000,0,3,76,589,951,621,514,568,00111111,,0.08,-0.61,22.1,24.82,23.5,24.2,
38.0,0.0106,3217,1023,196,0,0,00001001,0000000000100000,0,3,74,589,951,621,513,568,00111111,,0.08,-0.59,22.1,24.82,23.5,24.2,
