seconds,hours,svn,pwm icharge,pwm iled,pwm vlimit,pwm led,control_output_flags,control_flags,v_ref_ad,v_charge_ad,i_batt_ad,t_batt_ad,v_batt_ad,t_led_ad,batt_id_ad,t_driver_ad,driver_input_flags,Converted by computer:,vcharger (V),ibatt (A),tbatt (C),vbatt (V),tled (C),tdriver (C),
0.0,0.0000,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,582,724,603,513,561,00111111,,0.08,-0.01,22.8,18.90,25.2,25.0,
1.0,0.0003,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,581,724,603,513,561,00111111,,0.08,-0.01,22.9,18.90,25.2,25.0,
2.0,0.0006,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,582,724,603,513,561,00111111,,0.08,-0.01,22.8,18.90,25.2,25.0,
3.0,0.0008,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,581,724,603,513,561,00111111,,0.08,-0.01,22.9,18.90,25.2,25.0,
4.0,0.0011,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,581,724,603,514,561,00111111,,0.08,-0.01,22.9,18.90,25.2,25.0,
5.0,0.0014,3217,1023,0,0,0,00000001,0000000000000000,0,3,1,582,724,603,513,561,00111111,,0.08,-0.01,22.8,18.90,25.2,25.0,
6.0,0.0017,3217,1023,0,50,200,00000001,0000000000000000,0,945,1,581,724,603,513,561,00111111,,24.12,-0.01,22.9,18.90,25.2,25.0,
7.0,0.0019,3217,1023,0,50,200,00000001,0000000000000000,0,945,1,581,724,603,513,561,00111111,,24.12,-0.01,22.9,18.90,25.2,25.0,
8.0,0.0022,3217,29,0,42,200,00000101,0000000000000000,0,936,275,582,772,603,513,561,00101110,,23.89,2.20,22.8,20.15,25.2,25.0,
9.0,0.0025,3217,29,0,40,200,00000101,0000000000000000,0,935,275,582,783,603,513,561,00101110,,23.87,2.20,22.8,20.44,25.2,25.0,
10.0,0.0028,3217,29,0,40,200,00000101,0000000000000000,0,936,274,582,785,603,513,561,00101110,,23.89,2.19,22.8,20.49,25.2,25.0,
11.0,0.0031,3217,29,0,39,200,00000101,0000000000000000,0,936,275,582,786,603,513,561,00101110,,23.89,2.20,22.8,20.52,25.2,25.0,
12.0,0.0033,3217,29,0,39,200,00000101,0000000000000000,0,936,274,582,787,603,513,561,00101110,,23.89,2.19,22.8,20.54,25.2,25.0,
13.0,0.0036,3217,29,0,39,200,00000101,0000000000000000,0,936,274,582,788,603,513,561,00101110,,23.89,2.19,22.8,20.57,25.2,25.0,
14.0,0.0039,3217,29,0,39,200,00000101,0000000000000000,0,936,275,582,788,603,513,561,00101110,,23.89,2.20,22.8,20.57,25.2,25.0,
15.0,0.0042,3217,29,0,39,200,00000101,0000000000000000,0,937,275,582,789,604,513,561,00101110,,23.92,2.20,22.8,20.59,25.1,25.0,
16.0,0.0044,3217,29,0,39,200,00000101,0000000000000000,0,936,275,582,790,604,513,561,00101110,,23.89,2.20,22.8,20.62,25.1,25.0,
17.0,0.0047,3217,29,0,39,200,00000101,0000000000000000,0,936,275,582,791,603,513,561,00101110,,23.89,2.20,22.8,20.65,25.2,25.0,
18.0,0.0050,3217,29,0,39,200,00000101,0000000000000000,0,937,275,582,791,604,513,561,00101110,,23.92,2.20,22.8,20.65,25.1,25.0,
19.0,0.0053,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,792,604,513,561,00101110,,23.89,2.20,22.9,20.67,25.1,25.0,
20.0,0.0056,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,793,604,513,561,00101110,,23.89,2.20,22.9,20.70,25.1,25.0,
21.0,0.0058,3217,29,0,38,200,00000101,0000000000000000,0,936,274,582,794,604,513,561,00101110,,23.89,2.19,22.8,20.73,25.1,25.0,
22.0,0.0061,3217,29,0,38,200,00000101,0000000000000000,0,935,275,581,794,604,513,561,00101110,,23.87,2.20,22.9,20.73,25.1,25.0,
23.0,0.0064,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,795,604,513,561,00101110,,23.89,2.20,22.9,20.75,25.1,25.0,
24.0,0.0067,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,795,604,513,561,00101110,,23.89,2.20,22.9,20.75,25.1,25.0,
25.0,0.0069,3217,29,0,38,200,00000101,0000000000000000,0,935,275,581,796,604,513,561,00101110,,23.87,2.20,22.9,20.78,25.1,25.0,
26.0,0.0072,3217,29,0,38,200,00000101,0000000000000000,0,936,274,581,796,604,513,561,00101110,,23.89,2.19,22.9,20.78,25.1,25.0,
27.0,0.0075,3217,29,0,38,200,00000101,0000000000000000,0,935,274,581,797,604,513,560,00101110,,23.87,2.19,22.9,20.80,25.1,25.1,
28.0,0.0078,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,798,604,513,560,00101110,,23.89,2.20,22.9,20.83,25.1,25.1,
29.0,0.0081,3217,29,0,38,200,00000101,0000000000000000,0,936,275,581,798,604,513,560,00101110,,23.89,2.20,22.9,20.83,25.1,25.1,
30.0,0.0083,3217,29,0,38,200,00000101,0000000000000000,0,936,274,581,798,604,514,560,00101110,,23.89,2.19,22.9,20.83,25.1,25.1,
31.0,0.0086,3217,29,0,37,200,00000101,0000000000000000,0,936,275,581,799,605,513,560,00101110,,23.89,2.20,22.9,20.86,25.0,25.1,
32.0,0.0089,3217,29,0,37,200,00000101,0000000000000000,0,935,274,581,799,605,513,560,00101110,,23.87,2.19,22.9,20.86,25.0,25.1,
33.0,0.0092,3217,29,0,37,200,00000101,0000000000000000,0,937,275,581,800,605,513,560,00101110,,23.92,2.20,22.9,20.88,25.0,25.1,
34.0,0.0094,3217,29,0,37,200,00000101,0000000000000000,0,936,274,581,801,605,513,560,00101110,,23.89,2.19,22.9,20.91,25.0,25.1,
35.0,0.0097,3217,29,0,37,200,00000101,0000000000000000,0,936,275,581,801,605,513,560,00101110,,23.89,2.20,22.9,20.91,25.0,25.1,
36.0,0.0100,3217,29,0,37,200,00000101,0000000000000000,0,936,275,581,801,605,513,560,00101110,,23.89,2.20,22.9,20.91,25.0,25.1,
37.0,0.0103,3217,29,0,37,200,00000101,0000000000000000,0,936,275,581,802,605,513,560,00101110,,23.89,2.20,22.9,20.93,25.0,25.1,
38.0,0.0106,3217,29,0,37,200,00000101,0000000000000000,0,936,275,580,802,605,513,560,00101110,,23.89,2.20,23.0,20.93,25.0,25.1,
39.0,0.0108,3217,29,0,37,200,00000101,0000000000000000,0,936,274,580,803,605,513,560,00101110,,23.89,2.19,23.0,20.96,25.0,25.1,
40.0,0.0111,3217,29,0,37,200,00000101,0000000000000000,0,935,275,581,803,605,513,560,00101110,,23.87,2.20,22.9,20.96,25.0,25.1,
41.0,0.0114,3217,29,0,37,200,00000101,0000000000000000,0,936,274,580,804,605,513,560,00101110,,23.89,2.19,23.0,20.99,25.0,25.1,
42.0,0.0117,3217,29,0,37,200,00000101,0000000000000000,0,936,275,580,804,605,513,559,00101110,,23.89,2.20,23.0,20.99,25.0,25.2,
