Derived Data
Scan,Date/Time,Radiant Flux (Watts),Luminous Flux (lumens),Scotopic Luminous Flux (lm'),Chromaticity x coord,Chromaticity y coord,Chromaticity u coord,Chromaticity v coord,Delta uv,Chromaticity u' coord,Chromaticity v' coord,Peak Wavelength (nm),Center Wavelength (nm),Centroid Wavelength (nm),Dominant Wavelength (nm),Full Width Half Max Bandwidth (nm),Excitation Purity (%),Correlated Color Temperature (deg. K),Luminous Efficacy (lm/W),SDCM,Correlation,Correlation Coeficient,Color Rendering Index Average (RA),Color Rendering Index (R1),Color Rendering Index (R2),Color Rendering Index (R3),Color Rendering Index (R4),Color Rendering Index (R5),Color Rendering Index (R6),Color Rendering Index (R7),Color Rendering Index (R8),Color Rendering Index (R9),Color Rendering Index (R10),Color Rendering Index (R11),Color Rendering Index (R12),Color Rendering Index (R13),Color Rendering Index (R14),Measured DUT Current (A),Measured DUT Voltage (V),
1,11/28/2016 1:23:48 PM,2.762E00,8.767E02,1.737E03,0.3136,0.3301,0.1980,0.3127,0.0032,0.1980,0.4691,448.2,446.0,539.4,489.6,21.2,6.9,6442.0,, Cool White,0.0054,0.000130600245163186,70.127568819615,68.9,72.7,73.9,72.2,70.3,63.5,78.6,61,-29.1,34,70.2,39.9,68.5,85.2,N/A,N/A,
2,11/28/2016 1:23:49 PM,2.761E00,8.760E02,1.737E03,0.3136,0.3301,0.1980,0.3127,0.0033,0.1980,0.4691,447.8,446.0,539.4,489.7,21.2,6.9,6446.0,, Cool White,0.0054,0.000170114229798867,70.1638336076351,68.9,72.8,73.9,72.2,70.3,63.6,78.7,61.1,-29,34,70.2,39.9,68.5,85.2,N/A,N/A,
3,11/28/2016 1:23:50 PM,2.753E00,8.738E02,1.732E03,0.3136,0.3302,0.1980,0.3127,0.0032,0.1980,0.4691,447.9,446.0,539.4,489.6,21.2,6.9,6443.0,, Cool White,0.0054,0.000152013757219623,70.1721670785187,68.9,72.8,73.9,72.2,70.3,63.6,78.7,61,-29.1,34.1,70.2,39.9,68.5,85.2,N/A,N/A,
4,11/28/2016 1:23:51 PM,2.753E00,8.738E02,1.733E03,0.3135,0.3301,0.1980,0.3127,0.0033,0.1980,0.4690,448.2,446.0,539.3,489.6,21.3,6.9,6447.0,, Cool White,0.0054,0.000174523851868909,70.1958236261846,68.9,72.8,74,72.2,70.3,63.6,78.7,61.1,-29,34.1,70.2,39.9,68.5,85.2,N/A,N/A,
5,11/28/2016 1:23:51 PM,2.741E00,8.723E02,1.730E03,0.3135,0.3301,0.1980,0.3127,0.0032,0.1980,0.4690,447.9,446.1,538.7,489.6,21.2,6.9,6449.0,, Cool White,0.0054,0.000159806146599879,70.1945455261626,68.9,72.8,74,72.2,70.3,63.6,78.8,61,-29.1,34.2,70.1,40,68.5,85.2,N/A,N/A,
6,11/28/2016 1:23:52 PM,2.740E00,8.703E02,1.727E03,0.3135,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,447.9,446.1,539.1,489.6,21.3,6.9,6451.0,, Cool White,0.0054,0.000211146253001012,70.2016259886959,68.9,72.8,74,72.2,70.3,63.6,78.8,61.1,-29,34.2,70.1,40,68.5,85.3,N/A,N/A,
7,11/28/2016 1:23:53 PM,2.741E00,8.685E02,1.724E03,0.3135,0.3301,0.1980,0.3127,0.0033,0.1980,0.4690,448.1,446.1,539.6,489.6,21.3,6.9,6451.0,, Cool White,0.0054,0.000177498525503179,70.2336948559488,68.9,72.9,74,72.2,70.3,63.7,78.8,61.1,-28.9,34.3,70.1,40,68.6,85.3,N/A,N/A,
8,11/28/2016 1:23:54 PM,2.726E00,8.657E02,1.719E03,0.3134,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,447.9,446.1,539.0,489.6,21.3,7.0,6456.0,, Cool White,0.0054,0.000169218730242089,70.2583904870641,68.9,72.9,74,72.3,70.3,63.7,78.8,61.1,-28.8,34.3,70.1,40,68.6,85.3,N/A,N/A,
9,11/28/2016 1:23:54 PM,2.716E00,8.637E02,1.715E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.1,538.8,489.6,21.3,6.9,6452.0,, Cool White,0.0054,0.000211327660548043,70.2547945916835,68.9,72.9,74.1,72.2,70.3,63.7,78.9,61.1,-29,34.3,70.1,40,68.6,85.3,N/A,N/A,
10,11/28/2016 1:23:55 PM,2.711E00,8.605E02,1.709E03,0.3135,0.3300,0.1980,0.3127,0.0032,0.1980,0.4690,448.0,446.1,539.2,489.6,21.3,6.9,6452.0,, Cool White,0.0054,0.000156210738023494,70.3059369417723,69,72.9,74.1,72.3,70.4,63.7,78.9,61.2,-28.7,34.4,70.2,40.1,68.7,85.3,N/A,N/A,
11,11/28/2016 1:23:56 PM,2.697E00,8.566E02,1.702E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,447.9,446.1,539.1,489.6,21.4,6.9,6452.0,, Cool White,0.0054,0.000215972171515092,70.2921527856872,68.9,72.9,74.1,72.3,70.3,63.7,78.9,61.1,-28.8,34.4,70.1,40,68.6,85.3,N/A,N/A,
12,11/28/2016 1:23:57 PM,2.707E00,8.580E02,1.705E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.1,539.3,489.6,21.4,7.0,6457.0,, Cool White,0.0054,0.000238560093870048,70.3007537617199,68.9,72.9,74.1,72.3,70.3,63.8,78.9,61.1,-28.8,34.4,70.1,40.1,68.6,85.3,N/A,N/A,
13,11/28/2016 1:23:58 PM,2.701E00,8.557E02,1.700E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,539.5,489.6,21.4,7.0,6454.0,, Cool White,0.0054,0.000205544703498335,70.3228845926911,69,73,74.1,72.3,70.3,63.8,78.9,61.2,-28.6,34.5,70.1,40.1,68.7,85.3,N/A,N/A,
14,11/28/2016 1:23:58 PM,2.696E00,8.572E02,1.703E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,538.9,489.6,21.4,6.9,6454.0,, Cool White,0.0054,0.000195612483161923,70.3149588078691,69,73,74.1,72.3,70.3,63.8,78.9,61.1,-28.7,34.5,70.1,40.1,68.7,85.3,N/A,N/A,
15,11/28/2016 1:23:59 PM,2.694E00,8.537E02,1.698E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4690,448.0,446.2,539.4,489.6,21.5,7.0,6459.0,, Cool White,0.0054,0.00022602417193482,70.3570390689334,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.5,34.5,70.2,40.1,68.7,85.3,N/A,N/A,
16,11/28/2016 1:24:00 PM,2.701E00,8.557E02,1.701E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.0,446.2,539.4,489.5,21.4,7.0,6459.0,, Cool White,0.0054,0.000186189215640014,70.3643140021791,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.7,34.6,70.2,40.1,68.7,85.4,N/A,N/A,
17,11/28/2016 1:24:01 PM,2.673E00,8.504E02,1.690E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.1,446.2,538.7,489.7,21.4,6.9,6453.0,, Cool White,0.0054,0.000241880106894818,70.3247337360503,68.9,73,74.2,72.3,70.3,63.8,79,61.1,-29,34.5,70.1,40.1,68.7,85.4,N/A,N/A,
18,11/28/2016 1:24:01 PM,2.695E00,8.536E02,1.698E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4690,448.0,446.2,539.5,489.6,21.4,7.0,6459.0,, Cool White,0.0054,0.000221177890234381,70.3684626380985,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.7,34.6,70.1,40.2,68.7,85.4,N/A,N/A,
19,11/28/2016 1:24:02 PM,2.670E00,8.485E02,1.687E03,0.3134,0.3302,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,539.0,489.7,21.5,6.9,6454.0,, Cool White,0.0054,0.000250297927371643,70.3561618716515,69,73,74.2,72.3,70.3,63.8,79,61.1,-28.8,34.6,70.1,40.1,68.7,85.4,N/A,N/A,
20,11/28/2016 1:24:03 PM,2.682E00,8.500E02,1.691E03,0.3132,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.0,446.2,539.2,489.5,21.5,7.0,6464.0,, Cool White,0.0054,0.000213326978181464,70.3896336708036,69,73.1,74.2,72.3,70.4,63.9,79,61.2,-28.6,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
21,11/28/2016 1:24:04 PM,2.691E00,8.527E02,1.697E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.3,489.5,21.6,7.0,6463.0,, Cool White,0.0054,0.000199766854027685,70.4024568658651,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
22,11/28/2016 1:24:05 PM,2.674E00,8.472E02,1.686E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.4,489.6,21.5,7.0,6461.0,, Cool White,0.0054,0.000218135147520794,70.4090035124095,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
23,11/28/2016 1:24:05 PM,2.677E00,8.489E02,1.690E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.3,489.5,21.5,7.0,6462.0,, Cool White,0.0054,0.000206455785224162,70.414098267436,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.6,34.8,70.1,40.2,68.7,85.4,N/A,N/A,
24,11/28/2016 1:24:06 PM,2.683E00,8.500E02,1.692E03,0.3132,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.4,489.5,21.5,7.0,6464.0,, Cool White,0.0054,0.000203214221678704,70.4295325268603,69,73.1,74.3,72.4,70.4,63.9,79.1,61.3,-28.4,34.7,70.1,40.2,68.8,85.4,N/A,N/A,
25,11/28/2016 1:24:07 PM,2.669E00,8.458E02,1.684E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.3,539.2,489.6,21.5,7.0,6463.0,, Cool White,0.0054,0.000221344986825437,70.4383623293238,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.8,70.1,40.2,68.8,85.4,N/A,N/A,
26,11/28/2016 1:24:08 PM,2.674E00,8.470E02,1.686E03,0.3132,0.3298,0.1979,0.3126,0.0033,0.1979,0.4688,448.0,446.2,539.4,489.5,21.6,7.0,6464.0,, Cool White,0.0054,0.000163650658626678,70.4542423939248,69.1,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.4,34.8,70.1,40.3,68.8,85.4,N/A,N/A,
27,11/28/2016 1:24:08 PM,2.673E00,8.475E02,1.688E03,0.3132,0.3298,0.1979,0.3126,0.0033,0.1979,0.4688,448.1,446.3,539.0,489.5,21.6,7.0,6467.0,, Cool White,0.0054,0.000195708543465133,70.4680736733356,69.1,73.2,74.4,72.4,70.4,64,79.1,61.2,-28.4,34.9,70.2,40.3,68.8,85.5,N/A,N/A,
